Identifier,Polymer EntityData,,,,
Entry ID,Asym ID,Auth Asym ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"1QLU","A","A",35738,100
,"B","B",2488,95
,,,2566,90
,,,2611,70
,,,2583,50
,,,1697,30
"4ZV8","A","A",54391,100
,,,3671,95
,,,3732,90
,,,1308,70
,,,493,50
,,,351,30
"3WS7","A","A",21030,100
,,,11981,95
,,,13671,90
,,,12540,70
,,,11712,50
,,,1463,30
"4ZV3","A","A",62812,100
,"B","B",23004,95
,"C","C",30670,90
,,,30489,70
,,,24800,50
,,,21901,30
"1QLT","A","A",35738,100
,"B","B",2488,95
,,,2566,90
,,,2611,70
,,,2583,50
,,,1697,30
"4ZVB","A","A",49825,100
,"B","B",66472,95
,"C","C",31205,90
,"D","D",24106,70
,,,26630,50
,,,9110,30
"4ZVA","A","A",81082,100
,"B","B",46192,95
,,,31205,90
,,,24106,70
,,,26630,50
,,,9110,30
"4ZVN","A","A",486,100
,"B","B",582,95
,,,615,90
,,,674,70
,,,669,50
,,,684,30
"4ZVM","A","A",486,100
,"B","B",582,95
,,,615,90
,,,674,70
,,,669,50
,,,684,30
"4ZVL","A","A",486,100
,"B","B",582,95
,,,615,90
,,,674,70
,,,669,50
,,,684,30
"4ZVK","A","A",486,100
,"B","B",582,95
,,,615,90
,,,674,70
,,,669,50
,,,684,30
"3X2T","A","A",26364,100
,"B","B",19535,95
,,,8557,90
,,,1766,70
,,,1727,50
,,,265,30
"3X35","A","A",13225,100
,,,10427,95
,,,2028,90
,,,1851,70
,,,1858,50
,,,1858,30
"3WR5","A","A",50738,100
,"B","B",40110,95
,"C","C",5193,90
,"D","D",2484,70
,,,2487,50
,,,2479,30
"3X34","A","A",13225,100
,,,10427,95
,,,2028,90
,,,1851,70
,,,1858,50
,,,1858,30
"3X33","A","A",13225,100
,,,10427,95
,,,2028,90
,,,1851,70
,,,1858,50
,,,1858,30
"3X32","A","A",13225,100
,,,10427,95
,,,2028,90
,,,1851,70
,,,1858,50
,,,1858,30
"7AZT","A","A",4993,100
,,,4418,95
,,,4436,90
,,,4107,70
,,,1225,50
,,,1139,30
"3WR1","A","A",69961,100
,,,63904,95
,,,3814,90
,,,38,70
,,,11,50
,,,14,30
,"B","B",73125,100
,,,42012,95
,,,2505,90
,,,31,70
,,,11,50
,,,14,30
"3WR7","A","A",37620,100
,"B","C",27610,95
,"C","B",33948,90
,"D","D",14004,70
,,,7369,50
,,,7471,30
"1QLH","A","A",35753,100
,,,437,95
,,,463,90
,,,419,70
,,,329,50
,,,350,30
"3WRM","A","A",697,100
,"B","F",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3WRL","A","A",697,100
,"B","E",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3WRK","A","A",697,100
,"B","D",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3WRJ","A","A",697,100
,"B","E",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"4ZUK","A","A",5690,100
,"B","B",2078,95
,"C","C",2111,90
,"D","D",2020,70
,"E","E",1912,50
,"F","F",154,30
,"G","G"
,"H","H"
"3WRI","A","A",697,100
,"B","B",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"1QLB","A","A",104377,100
,"D","D",10165,95
,,,10355,90
,,,10102,70
,,,6906,50
,,,511,30
,"B","B",10409,100
,"E","E",9460,95
,,,10629,90
,,,9579,70
,,,9421,50
,,,1627,30
,"C","C",36546,100
,"F","F",9461,95
,,,10630,90
,,,9580,70
,,,9422,50
,,,9220,30
"3WRH","A","A",697,100
,"B","E",281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"7AYV","A","A",4993,100
,,,4418,95
,,,4436,90
,,,4107,70
,,,1225,50
,,,1139,30
"1QJS","A","A",33249,100
,"B","B",25618,95
,,,31723,90
,,,26279,70
,,,26932,50
,,,22746,30
"3X1M","A","A",6719,100
,"B","B",8540,95
,"C","C",8659,90
,,,7508,70
,,,937,50
,,,418,30
"7AYX","A","A",52380,100
,"B","B",53646,95
,,,49674,90
,,,56130,70
,,,30489,50
,,,81,30
"1QKI","A","A",21138,100
,"B","B",2906,95
,"C","C",2864,90
,"D","D",2906,70
,"E","E",2954,50
,"F","F",1744,30
,"G","G"
,"H","H"
"4ZRN","A","A",34474,100
,"B","B",25360,95
,,,22921,90
,,,27335,70
,,,26483,50
,,,580,30
"4ZRM","A","A",34474,100
,"B","B",25360,95
,,,22921,90
,,,27335,70
,,,26483,50
,,,580,30
"3X0V","A","A",22411,100
,"B","B",11524,95
,,,9709,90
,,,9540,70
,,,10178,50
,,,9142,30
