Identifier,Polymer EntityData,,,,,,,,,,,,,,
Entry ID,Entity ID,Asym ID,Auth Asym ID,Database Name,Accession Code(s),Sequence Cluster  ID,Sequence Cluster Identity Threshold,Macromolecule Name,Provenance Source,Gene Name,Source Organism,Taxonomy ID,Value,Provenance Code,
"4UU7","1","A, B","A, B","UniProt","Q6DHI5",3976,100,"NAD-DEPENDENT PROTEIN DEACYLASE SIRTUIN-5, MITOCHONDRIAL","UniProt","sirt5","Danio rerio",7955,"NAD-dependent protein deacylase sirtuin-5, mitochondrial","up:Protein.up:recommendedName.up:fullName"
,,,,,,3180,95,,"UniProt","si:ch211-121a2.1"
,,,,,,3167,90
,,,,,,1421,70
,,,,,,1409,50
,,,,,,1456,30
,"2","C","D","UniProt","P31327",,,"CARBAMOYLPHOSPHATE SYNTHETASE I","UniProt","CPS1","Homo sapiens",9606,"Carbamoyl-phosphate synthase [ammonia], mitochondrial","up:Protein.up:recommendedName.up:fullName"
"4UTV","1","A, B","A, B","UniProt","Q6DHI5",3976,100,"NAD-DEPENDENT PROTEIN DEACYLASE SIRTUIN-5, MITOCHONDRIAL","UniProt","sirt5","Danio rerio",7955,"NAD-dependent protein deacylase sirtuin-5, mitochondrial","up:Protein.up:recommendedName.up:fullName"
,,,,,,3180,95,,"UniProt","si:ch211-121a2.1"
,,,,,,3167,90
,,,,,,1421,70
,,,,,,1409,50
,,,,,,1456,30
,"2","C","C","UniProt","P31327",,,"CARBAMOYLPHOSPHATE SYNTHETASE I","UniProt","CPS1","Homo sapiens",9606,"Carbamoyl-phosphate synthase [ammonia], mitochondrial","up:Protein.up:recommendedName.up:fullName"
"4UU6","1","A","A","UniProt","Q8N3R9",27782,100,"MAGUK P55 SUBFAMILY MEMBER 5","UniProt","PALS1","Homo sapiens",9606,"Protein PALS1","up:Protein.up:recommendedName.up:fullName"
,,,,,,14864,95,,"UniProt","MPP5"
,,,,,,10459,90
,,,,,,12439,70
,,,,,,11662,50
,,,,,,301,30
