Identifier,Polymer EntityData,,,,
Entry ID,Asym ID,Auth Asym ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"1EP2","A","A",15352,100
,,,18365,95
,,,11315,90
,,,10873,70
,,,9171,50
,,,8884,30
,"B","B",22262,100
,,,19323,95
,,,19455,90
,,,9295,70
,,,9199,50
,,,8660,30
"1EP3","A","A",15352,100
,,,18365,95
,,,11315,90
,,,10873,70
,,,9171,50
,,,8884,30
,"B","B",22262,100
,,,19323,95
,,,19455,90
,,,9295,70
,,,9199,50
,,,8660,30
"4NXW","A","A",26429,100
,,,4338,95
,,,4626,90
,,,4242,70
,,,4053,50
,,,3440,30
"2I2F","A","A",92844,100
,,,641,95
,,,675,90
,,,774,70
,,,763,50
,,,789,30
"4O8A","A","A",62652,100
,,,74910,95
,,,73864,90
,,,38364,70
,,,41865,50
,,,25365,30
"2I2A","A","A",561,100
,,,641,95
,,,675,90
,,,774,70
,,,763,50
,,,789,30
"1F04","A","A",17793,100
,,,2650,95
,,,2776,90
,,,1765,70
,,,1673,50
,,,1719,30
"4NX6","A","A",640,100
,,,307,95
,,,315,90
,,,327,70
,,,335,50
,,,161,30
"4O95","A","A",5983,100
,,,7487,95
,,,7136,90
,,,7016,70
,,,5188,50
,,,1765,30
"3L63","A","A",1486,100
,,,281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3L62","A","A",1486,100
,,,281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3L61","A","A",1486,100
,,,281,95
,,,305,90
,,,325,70
,,,332,50
,,,334,30
"3KU1","A","A",37240,100
,"B","B",34257,95
,"C","C",29066,90
,"D","D",30422,70
,"E","E",15483,50
,"F","F",5198,30
,"G","G"
,"H","H"
"2HQY","A","A",89498,100
,"B","B",50939,95
,,,67180,90
,,,57095,70
,,,50433,50
,,,26752,30
"1ENY","A","A",339,100
,,,379,95
,,,385,90
,,,386,70
,,,371,50
,,,13,30
"1ENZ","A","A",5005,100
,,,379,95
,,,385,90
,,,386,70
,,,371,50
,,,13,30
"2HQM","A","A",68927,100
,"B","B",61317,95
,,,72939,90
,,,30739,70
,,,1170,50
,,,300,30
"4NWZ","A","A",9967,100
,"B","B",7445,95
,"C","C",7689,90
,"D","D",6798,70
,,,6517,50
,,,4876,30
"3KU9","A","A",18018,100
,"B","B",4660,95
,,,4982,90
,,,4769,70
,,,4701,50
,,,4289,30
"1ENO","A","A",15803,100
,,,12085,95
,,,13194,90
,,,11048,70
,,,1396,50
,,,1432,30
"7XAY","A","A",58510,100
,,,51077,95
,,,55718,90
,,,36336,70
,,,42579,50
,,,24172,30
,"B","B",58511,100
,,,21184,95
,,,20808,90
,,,17649,70
,,,16809,50
,,,1082,30
,"C","C",58512,100
,,,51078,95
,,,55719,90
,,,2897,70
,,,1248,50
,,,1230,30
,"D","D",6244,100
