Identifier,Polymer EntityData,,,,
Entry ID,Asym ID,Auth Asym ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"5I1W","A","A",39033,100
,"B","B",26215,95
,"C","C",21723,90
,"D","D",23723,70
,,,5664,50
,,,3708,30
"5HPW","A","A",2241,100
,"B","B",449,95
,"C","C",478,90
,"D","D",504,70
,,,490,50
,,,515,30
"6KRC","A","A",24731,100
,,,93,95
,,,16,90
,,,23,70
,,,50,50
,,,68,30
"6L3A","A","A",36824,100
,"B","B",33764,95
,,,27669,90
,,,27789,70
,,,22043,50
,,,81,30
"5I0I","A","A",33140,100
,"B","B",20085,95
,,,18984,90
,,,18430,70
,,,14866,50
,,,290,30
,"C","C",123,100
,,,126,95
,,,126,90
,,,139,70
,,,143,50
,,,65,30
,"D","E",102729,100
,,,126,95
,,,126,90
,,,139,70
,,,143,50
,,,65,30
,"E","G",102730,100
,,,37344,95
,,,38353,90
,,,50788,70
,,,30211,50
,,,28086,30
,"F","I",2432,100
,,,2432,95
,,,2489,90
,,,1767,70
,,,1756,50
,,,1073,30
"6L3H","A","A",19597,100
,"B","B",17896,95
,,,20392,90
,,,14372,70
,,,8321,50
,,,5773,30
"5I0H","A","A",33140,100
,"B","B",20085,95
,,,18984,90
,,,18430,70
,,,14866,50
,,,290,30
"6KRI","A","A",32944,100
,"B","B",3141,95
,,,3204,90
,,,2999,70
,,,2901,50
,,,2750,30
"6KRF","A","A",24731,100
,,,93,95
,,,16,90
,,,23,70
,,,50,50
,,,68,30
"6KRT","A","A",86573,100
,"B","B",49506,95
,,,4685,90
,,,4506,70
,,,4666,50
,,,4422,30
"4EM4","A","A",12183,100
,"B","B",6288,95
,,,6219,90
,,,5586,70
,,,6024,50
,,,1504,30
"3BJ3","A","A",17544,100
,"C","C",11810,95
,,,12422,90
,,,1634,70
,,,1263,50
,,,14,30
,"B","B",12191,100
,"D","D",11811,95
,,,12423,90
,,,1801,70
,,,11,50
,,,14,30
"4EM3","A","A",12183,100
,"B","B",6288,95
,,,6219,90
,,,5586,70
,,,6024,50
,,,1504,30
"3BJ2","A","A",17544,100
,"C","C",11810,95
,,,12422,90
,,,1634,70
,,,1263,50
,,,14,30
,"B","B",12191,100
,"D","D",11811,95
,,,12423,90
,,,1801,70
,,,11,50
,,,14,30
"6KS6","A","a",4142,100
,"B","A",4871,95
,,,5087,90
,,,4597,70
,,,1860,50
,,,216,30
,"C","b",4143,100
,"D","B",4872,95
,,,5088,90
,,,4598,70
,,,1521,50
,,,216,30
,"E","d",6419,100
,"F","D",4873,95
,,,5089,90
,,,4599,70
,,,1838,50
,,,216,30
,"G","e",3750,100
,"H","E",4439,95
,,,4640,90
,,,4221,70
,,,1642,50
,,,216,30
,"I","g",14822,100
,"J","G",8808,95
,,,5049,90
,,,4760,70
,,,1861,50
,,,216,30
,"K","h",4146,100
,"L","H",4876,95
,,,5092,90
,,,4602,70
,,,1839,50
,,,216,30
,"M","q",4144,100
,"N","Q",4874,95
,,,5090,90
,,,4600,70
,,,4429,50
,,,216,30
,"O","z",4145,100
,"P","Z",4875,95
,,,5091,90
,,,4601,70
,,,1862,50
,,,216,30
"3BJ1","A","A",17544,100
,"C","C",11810,95
,,,12422,90
,,,1634,70
,,,1263,50
,,,14,30
,"B","B",12191,100
,"D","D",11811,95
,,,12423,90
,,,1801,70
,,,11,50
,,,14,30
"6L3P","A","A",38199,100
,"B","B",21969,95
