Identifier,Polymer EntityData,,
Entry ID,Sequence Cluster  ID,Sequence Cluster Identity Threshold,
"6PRS",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"5N0R",83455,100
,2283,95
,2373,90
,2111,70
,2111,50
,2165,30
"6Q45",102621,100
,71871,95
,56523,90
,33016,70
,539,50
,569,30
,102622,100
,71872,95
,56524,90
,254,70
,238,50
,260,30
,102623,100
,71873,95
,56525,90
,33017,70
,29476,50
,250,30
,102624,100
,71874,95
,56526,90
,33018,70
,29477,50
,29004,30
"5N0S",101889,100
,2283,95
,2373,90
,2111,70
,2111,50
,2165,30
"4JLP",40283,100
,3435,95
,3387,90
,3379,70
,3216,50
,453,30
"6PRR",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"4JLO",40283,100
,3435,95
,3387,90
,3379,70
,3216,50
,453,30
"4JJZ",4925,100
,4151,95
,3974,90
,3965,70
,2878,50
,2967,30
"6Q1Y",77290,100
,77352,95
,384,90
,387,70
,370,50
,12,30
"2DEB",6488,100
,5856,95
,6219,90
,5699,70
,5645,50
,1585,30
"7STE",2528,100
,2925,95
,2927,90
,2909,70
,2868,50
,875,30
,2529,100
,2926,95
,2928,90
,2910,70
,2621,50
,875,30
,2530,100
,2927,95
,2929,90
,2911,70
,2553,50
,875,30
,2531,100
,2928,95
,2930,90
,2912,70
,2869,50
,2568,30
,8572,100
,9650,95
,10270,90
,10902,70
,9372,50
,9170,30
"6PQD",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"6Q2C",13241,100
,13410,95
,14332,90
,12180,70
,12057,50
,405,30
"4JKI",4925,100
,4151,95
,3974,90
,3965,70
,2878,50
,2967,30
"4JL6",3129,100
,3435,95
,3387,90
,3379,70
,3216,50
,453,30
"6PQV",3194,100
,3935,95
,3998,90
,3986,70
,3932,50
,2641,30
,5029,100
,3593,95
,3657,90
,2940,70
,539,50
,569,30
,3854,100
,3594,95
,3658,90
,3685,70
,2897,50
,2961,30
,2055,100
,2541,95
,2590,90
,2663,70
,2220,50
,958,30
,3195,100
,3595,95
,3659,90
,3686,70
,2960,50
,250,30
,3196,100
,3596,95
,3660,90
,2741,70
,238,50
,260,30
,1976,100
,2088,95
,2093,90
,2078,70
,1877,50
,1917,30
,2924,100
,3597,95
,3661,90
,3687,70
,2961,50
,835,30
"6PR7",672,100
,593,95
,629,90
,684,70
,671,50
,230,30
"5MNV",5730,100
,4658,95
,4715,90
,4514,70
,4497,50
,80,30
"6PQW",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"6PR8",672,100
,593,95
,629,90
,684,70
,671,50
,230,30
"4JL5",3129,100
,3435,95
,3387,90
,3379,70
,3216,50
,453,30
"7STX",26263,100
,24730,95
,30415,90
,20468,70
,24226,50
,6338,30
,37670,100
,24196,95
,28695,90
,23542,70
,20904,50
,17625,30

"5MNS",5730,100
,4658,95
,4715,90
,4514,70
,4497,50
,80,30
"6Q2T",19232,100
,6958,95
,7597,90
,6835,70
,6636,50
,405,30
"6PR6",672,100
,593,95
,629,90
,684,70
,671,50
,230,30
"3GHQ",47598,100
,1920,95
,1950,90
,1959,70
,676,50
,541,30
"6PQS",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"6Q34",2232,100
,2735,95
,2791,90
,2862,70
,2769,50
,1349,30
"7STQ",25227,100
,2121,95
,2199,90
,2231,70
,2163,50
,2006,30
"6Q31",2232,100
,2735,95
,2791,90
,2862,70
,2769,50
,1349,30
"6POZ",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"6POX",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"6POY",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"6PP7",4420,100
,2278,95
,2345,90
,2416,70
,2263,50
,2183,30

"6POV",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"6PP8",4420,100
,2278,95
,2345,90
,2416,70
,2263,50
,2183,30

"6POW",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"1AA4",1326,100
,153,95
,158,90
,183,70
,219,50
,239,30
"4JJI",17225,100
,12757,95
,6704,90
,4768,70
,330,50
,350,30
"3GGG",16504,100
,19447,95
,18758,90
,15932,70
,13611,50
,13090,30
"6PQ6",991,100
,1015,95
,1068,90
,1071,70
,1089,50
,80,30
"4JK3",3796,100
,4557,95
,4490,90
,4385,70
,4264,50
,4207,30
"5MMS",43407,100
,22073,95
,28920,90
,29707,70
,22808,50
,21220,30
"3GGP",16504,100
,19447,95
,18758,90
,15932,70
,13611,50
,13090,30
"2DDH",31792,100
,29260,95
,26402,90
,11899,70
,13033,50
,3812,30
"2DBZ",14897,100
,17129,95
,16196,90
,10717,70
,9058,50
,490,30
"6PO8",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"6PO9",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"3GF4",11570,100
,7525,95
,7486,90
,6475,70
,7081,50
,4676,30
"6PO7",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"6POD",4420,100
,2278,95
,2345,90
,2416,70
,2263,50
,2183,30
,1937,100
,2218,95
,2241,90
,685,70
,412,50
,409,30

"2DBQ",14897,100
,17129,95
,16196,90
,10717,70
,9058,50
,490,30
"3GFB",97246,100
,48919,95
,39640,90
,14349,70
,9762,50
,787,30
"2DC3",19790,100
,5284,95
,5397,90
,5333,70
,4677,50
,4462,30
"2DBR",14897,100
,17129,95
,16196,90
,10717,70
,9058,50
,490,30
"6POE",4591,100
,4552,95
,3852,90
,3753,70
,3502,50
,3560,30
"6POB",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"6POC",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"6POA",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"4JII",13803,100
,2242,95
,2294,90
,224,70
,251,50
,121,30
"4JIH",13803,100
,2242,95
,2294,90
,224,70
,251,50
,121,30
"2DCN",24910,100
,23326,95
,23841,90
,29076,70
,10590,50
,4388,30
"5MLH",28607,100
,12368,95
,14957,90
,8152,70
,2084,50
,2107,30
"6PP5",4420,100
,2278,95
,2345,90
,2416,70
,2263,50
,2183,30

"6POT",344,100
,41,95
,44,90
,55,70
,35,50
,54,30
"6PP6",4420,100
,2278,95
,2345,90
,2416,70
,2263,50
,2183,30

"6POU",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
"4JIR",1717,100
,228,95
,237,90
,224,70
,251,50
,121,30
"6PP3",582,100
,180,95
,190,90
,217,70
,35,50
,54,30
